"חותמת זמן","1. גר ב:","2. אני מודע לבעיה של הפשיעה החקלאית","3. הפשיעה החקלאית נוגעת אליי או למישהו שאני מכיר","4. כשמטיילים מותר לקחת פירות מעצים אפילו אם לא יודעים למי הם שייכים","5. פשיעה חקלאית היא נושא שלא מדברים עליו מספיק","6. דחוף לשנות את התנהלות השלטונות מול פשיעה חקלאית","7. הסברה/העלאת המודעות תוביל לפתרון בעיית הפשיעה החקלאית","8. הממשלה/ המשטרה צריכות להקציב יותר כסף כדי שלא תהיה פשיעה חקלאית","9. האזרחים צריכים להתמודד עם הבעיה בעזרת גופים פרטיים(השומר החדש למשל)"
"2020/03/27 2:05:58 אחה״צ GMT‎+3‎","יישוב","4","5","1","4","5","4","5","3"
"2020/03/27 2:06:39 אחה״צ GMT‎+3‎","מושב","4","3","2","4","4","4","5","2"
"2020/03/27 2:08:11 אחה״צ GMT‎+3‎","יישוב","5","5","1","5","5","4","5","1"
"2020/03/27 2:09:20 אחה״צ GMT‎+3‎","יישוב","5","3","1","5","5","5","5","5"
"2020/03/27 2:09:42 אחה״צ GMT‎+3‎","יישוב","4","2","2","4","4","3","4","2"
"2020/03/27 2:10:06 אחה״צ GMT‎+3‎","עיר","4","4","2","4","4","4","4","1"
"2020/03/27 2:11:45 אחה״צ GMT‎+3‎","מושב","5","5","1","5","5","5","5","1"
"2020/03/27 2:12:19 אחה״צ GMT‎+3‎","יישוב","2","4","2","4","4","4","3","4"
"2020/03/27 2:13:31 אחה״צ GMT‎+3‎","מושב","4","3","2","5","4","3","3","3"
"2020/03/27 2:13:59 אחה״צ GMT‎+3‎","עיר","3","1","1","5","5","3","5","1"
"2020/03/27 2:17:46 אחה״צ GMT‎+3‎","עיר","4","5","4","3","3","4","3","4"
"2020/03/27 2:19:52 אחה״צ GMT‎+3‎","יישוב","4","2","2","3","3","4","4","2"
"2020/03/27 2:20:19 אחה״צ GMT‎+3‎","יישוב","4","4","2","5","4","3","4","2"
"2020/03/27 2:28:40 אחה״צ GMT‎+3‎","יישוב","5","5","1","5","5","5","5","2"
"2020/03/27 2:29:14 אחה״צ GMT‎+3‎","יישוב","5","5","1","3","3","2","5","1"
"2020/03/27 2:30:13 אחה״צ GMT‎+3‎","יישוב","3","1","1","5","4","5","5","3"
"2020/03/27 2:31:47 אחה״צ GMT‎+3‎","יישוב","5","5","1","5","5","3","5","1"
"2020/03/27 2:36:27 אחה״צ GMT‎+3‎","עיר","2","4","1","5","4","3","4","4"
"2020/03/27 2:56:22 אחה״צ GMT‎+3‎","יישוב","4","2","1","4","4","4","3","4"
"2020/03/27 3:02:01 אחה״צ GMT‎+3‎","יישוב","1","4","3","5","4","5","5","5"
"2020/03/27 3:05:27 אחה״צ GMT‎+3‎","יישוב","2","4","2","5","3","3","2","4"
"2020/03/27 3:07:21 אחה״צ GMT‎+3‎","יישוב","4","4","1","5","4","3","3","3"
"2020/03/27 3:14:45 אחה״צ GMT‎+3‎","עיר","5","4","1","4","4","4","4","2"
"2020/03/27 3:18:18 אחה״צ GMT‎+3‎","מושב","5","5","1","5","5","5","5","1"
"2020/03/27 3:22:50 אחה״צ GMT‎+3‎","מושב צופית","4","3","1","4","3","4","3","2"
"2020/03/27 3:24:36 אחה״צ GMT‎+3‎","עיר","5","5","1","5","5","5","5","3"
"2020/03/27 3:30:35 אחה״צ GMT‎+3‎","יישוב","5","5","1","5","5","3","5","1"
"2020/03/27 3:42:31 אחה״צ GMT‎+3‎","יישוב","3","3","1","5","5","4","3","3"
"2020/03/27 3:50:14 אחה״צ GMT‎+3‎","יישוב","2","4","4","2","2","1","1","5"
"2020/03/27 4:14:39 אחה״צ GMT‎+3‎","עיר","5","5","1","5","5","5","4","3"
"2020/03/27 4:17:16 אחה״צ GMT‎+3‎","עיר","4","1","1","5","5","5","5","5"
"2020/03/27 4:45:03 אחה״צ GMT‎+3‎","עיר","3","3","2","5","5","5","4","2"
"2020/03/27 5:08:25 אחה״צ GMT‎+3‎","יישוב","4","5","1","5","5","4","5","1"
